run_name,species_code,common_name,season,region,start_year,end_year,start_date,end_date,rsquared,beta0
wesgul_resident,wesgul,Western Gull,resident,north_america,2007,2021,05-24,06-28,0.7634997537176377,-0.2839845775922094
weskin_breeding,weskin,Western Kingbird,breeding,north_america,2007,2021,06-07,07-13,0.9105888491006924,0.2051384252384354
wesmea_breeding,wesmea,Western Meadowlark,breeding,north_america,2007,2021,05-10,07-13,0.8566907466983248,0.3939307039044419
westan_breeding,westan,Western Tanager,breeding,north_america,2007,2021,06-21,07-13,0.9124381420538432,-0.257467821255121
wewpew_breeding,wewpew,Western Wood-Pewee,breeding,north_america,2007,2021,07-06,07-27,0.9323401141412796,-0.00450391906997338
whbnut_resident,whbnut,White-breasted Nuthatch,resident,north_america,2007,2021,03-15,05-03,0.9396562406533638,-0.2220401693394135
whbtre1_resident,whbtre1,White-bellied Treepie,resident,india,2007,2021,01-04,12-28,0.6274708850502105,1.871396361611964
whcpig2_resident,whcpig2,White-crowned Pigeon,resident,north_america,2007,2021,04-05,05-24,0.8159439646314044,0.13513806893041552
whcsee1_resident,whcsee1,Morelet's Seedeater,resident,north_america,2007,2021,02-15,04-19,0.8301159307561926,-0.03060733334133615
whcspa_nonbreeding,whcspa,White-crowned Sparrow,nonbreeding,north_america,2007,2020,12-21,03-08,0.8825778853991426,0.2327558691957132
whebuz1_resident,whebuz1,White-eyed Buzzard,resident,india,2007,2021,01-04,12-28,0.6822959121020462,0.8458874931880367
whevir_breeding,whevir,White-eyed Vireo,breeding,north_america,2007,2021,06-07,08-17,0.9000072605485975,0.03116933432748494
whfibi_breeding,whfibi,White-faced Ibis,breeding,north_america,2007,2021,05-24,07-13,0.6915189158808015,0.31939612147887575
whhwoo_resident,whhwoo,White-headed Woodpecker,resident,north_america,2007,2021,04-05,05-31,0.7802727369433794,-0.01933837647778092
whiibi_breeding,whiibi,White Ibis,breeding,north_america,2007,2021,05-03,06-21,0.7620700264046942,0.21667249825954457
whiteh1_resident,whiteh1,Whitehead,resident,new_zealand,2007,2021,01-04,12-28,0.5064690756600244,1.3540252663396677
whtdov_resident,whtdov,White-tipped Dove,resident,north_america,2007,2021,02-01,03-22,0.8701999242266127,0.09133512636084372
whthaw_resident,whthaw,White-tailed Hawk,resident,north_america,2007,2021,01-04,12-28,0.7514942839426025,0.6846364159315054
whtkit_resident,whtkit,White-tailed Kite,resident,north_america,2007,2021,03-15,04-19,0.8513505653838147,0.6770100711489009
whtspa_nonbreeding,whtspa,White-throated Sparrow,nonbreeding,north_america,2007,2020,12-21,02-22,0.8902289503844972,0.07766006819100706
whtswi_breeding,whtswi,White-throated Swift,breeding,north_america,2007,2021,05-24,07-06,0.8985633413991085,-0.15025505774465206
whwcro_nonbreeding,whwcro,White-winged Crossbill,nonbreeding,north_america,2007,2021,01-04,02-22,0.8077936358413295,-0.1858392530484771
whwdov_breeding,whwdov,White-winged Dove,breeding,north_america,2007,2021,05-31,07-06,0.8501357547720482,-0.01872576960326643
whwsco2_nonbreeding,whwsco2,White-winged Scoter,nonbreeding,north_america,2007,2021,01-04,03-01,0.6849650629128828,0.5375046364884609
wilfly_breeding,wilfly,Willow Flycatcher,breeding,north_america,2007,2021,06-21,07-27,0.8877067738605137,-0.17914341085394733
willet1_breeding,willet1,Willet,breeding,north_america,2007,2021,05-31,06-28,0.565479532475758,0.5728004758693739
wilpha_breeding,wilpha,Wilson's Phalarope,breeding,north_america,2007,2021,06-07,06-28,0.6052996505720866,0.4449918982979966
wilplo_breeding,wilplo,Wilson's Plover,breeding,north_america,2007,2021,05-17,07-13,0.8311694106715638,0.21164005415092865
wilsap_breeding,wilsap,Williamson's Sapsucker,breeding,north_america,2007,2021,05-17,08-03,0.8500603052711977,0.2256465085850415
wilsni1_breeding,wilsni1,Wilson's Snipe,breeding,north_america,2007,2021,06-07,07-06,0.8578727689609581,0.3769505803653945
wiltur_resident,wiltur,Wild Turkey,resident,north_america,2007,2021,03-15,05-03,0.9219966028072508,-0.04925549136825599
winwre3_breeding,winwre3,Winter Wren,breeding,north_america,2007,2021,06-14,07-27,0.7419561380603293,1.095764449972619
wlswar_breeding,wlswar,Wilson's Warbler,breeding,north_america,2007,2021,06-28,07-20,0.7184577038731339,-0.13806059423519795
woewar1_breeding,woewar1,Worm-eating Warbler,breeding,north_america,2007,2021,06-07,07-20,0.8397022076403687,0.6401233432078083
wooduc_breeding,wooduc,Wood Duck,breeding,north_america,2007,2021,05-17,06-14,0.8703395323444585,-0.5212449671811205
wooscj2_resident,wooscj2,Woodhouse's Scrub-Jay,resident,north_america,2007,2021,06-14,07-06,0.8962553770113627,-0.11804802371504182
woosto_breeding,woosto,Wood Stork,breeding,north_america,2007,2021,07-20,09-07,0.7150324163912389,0.21302713424575928
woothr_breeding,woothr,Wood Thrush,breeding,north_america,2007,2021,05-31,07-13,0.9033622110371436,0.295166310652244
wrenti_resident,wrenti,Wrentit,resident,north_america,2007,2021,03-01,05-31,0.9036529652653168,-0.22904733797000465
y00475_breeding,y00475,American Coot,breeding,north_america,2007,2021,06-07,08-31,0.856227827800798,0.01009841701817497
y00478_nonbreeding,y00478,Iceland Gull,nonbreeding,north_america,2007,2020,12-14,02-08,0.7535979057407094,0.2577517023420296
y00678_resident,y00678,Crested Caracara,resident,north_america,2007,2021,01-04,12-28,0.8460150420894845,0.19149766507759225
ycnher_breeding,ycnher,Yellow-crowned Night-Heron,breeding,north_america,2007,2021,05-10,06-14,0.7959725067142878,-0.23373596343352637
yebcha_breeding,yebcha,Yellow-breasted Chat,breeding,north_america,2007,2021,06-07,07-06,0.8949727594446487,-0.06603980199589315
yebcuc_breeding,yebcuc,Yellow-billed Cuckoo,breeding,north_america,2007,2021,06-28,08-17,0.8861035496997691,-0.01008280687745294
yebfly_nonbreeding,yebfly,Yellow-bellied Flycatcher,nonbreeding,north_america,2007,2020,11-02,04-05,0.825870816724947,0.04688583875561816
yebmag_resident,yebmag,Yellow-billed Magpie,resident,north_america,2007,2021,01-18,04-05,0.7956638368877551,0.08904759401902029
yebpin1_resident,yebpin1,Yellow-billed Pintail,resident,south_america,2007,2021,01-04,12-28,0.7934204975558262,0.23231901456245185
yebsap_breeding,yebsap,Yellow-bellied Sapsucker,breeding,north_america,2007,2021,05-31,07-06,0.8894495643572989,0.01685031953469802
yeejun_resident,yeejun,Yellow-eyed Junco,resident,north_america,2007,2021,04-05,06-07,0.7264022887607153,-0.13761254468240944
yehbla_breeding,yehbla,Yellow-headed Blackbird,breeding,north_america,2007,2021,06-07,06-14,0.8978535151524483,-0.13379379500612956
yelwar_breeding,yelwar,Yellow Warbler,breeding,north_america,2007,2021,06-21,07-13,0.9017227252182386,-0.13527474478335902
yerwar_nonbreeding,yerwar,Yellow-rumped Warbler,nonbreeding,north_america,2007,2020,12-14,02-22,0.9080072107463804,-0.189153178718584
yetvir_breeding,yetvir,Yellow-throated Vireo,breeding,north_america,2007,2021,06-07,08-17,0.9192801695230668,-0.09402512581681204
yetwar_breeding,yetwar,Yellow-throated Warbler,breeding,north_america,2007,2021,05-10,06-28,0.8405977744146835,-0.1776141104824057
zothaw_breeding,zothaw,Zone-tailed Hawk,breeding,north_america,2007,2021,05-03,08-10,0.8483735003789457,-0.08044696532247882
